月份,当月(亿元),同比增长,环比增长,累计(亿元),累计同比增长
2017-12-01,10819,-4.97145367,-4.97145367,172567,7.4
2017-11-01,11385,-1.4,-29.86940988,161748,8.4
2017-10-01,16234,5.4,27.68601542,150363,9.2
2017-09-01,12714,9.2,19.35226473,134128.9,9.7
2017-08-01,10652.5,7.2,-35.2687388,121414.9,9.8
2017-07-01,16456.5,11.1,-3.66400506,110762.5,10
2017-06-01,17082.4,8.9,6.27745219,94306,9.8
2017-05-01,16073.4,3.7,-4.23493524,77223.6,10
2017-04-01,16784.2,7.8,29.98412391,61150.2,11.8
2017-03-01,12912.5,12.2,14.82472833,44366,14.1
2017-02-01,11245.4,10.05529187,-44.35201726,31453.5,14.9
2017-01-01,20208.1,17.71901924,78.80109715,20208.1,17.7
2016-12-01,11302,-7.9795311,-1.64476547,159552,4.5
2016-11-01,11491,3.1,-25.18490546,148250,5.7
2016-10-01,15359.2,5.9,36.86808829,136759.1,5.9
2016-09-01,11221.9,4.9,13.42011906,121400,5.9
2016-08-01,9894.1,1.7,-33.01309393,110178.1,6
2016-07-01,14770.2,3.3,-5.52574181,100284,6.5
2016-06-01,15634.1,1.7,1.12089931,85513.8,7.1
2016-05-01,15460.8,7.3,-0.40005411,69879.8,8.3
2016-04-01,15522.9,14.4,34.85040656,54419,8.6
2016-03-01,11511.2,7.1,12.65058472,38896,6.5
2016-02-01,10218.5,7.41526404,-40.47348584,27384.8,6.3
2016-01-01,17166.3,5.94244919,39.76738411,17166.3,5.9
2015-12-01,12282.05,14.19723815,10.77504334,152217,8.4
2015-11-01,11087.38,11.4,-23.19141979,139934.95,8
2015-10-01,14435.08,8.7,32.53089922,128847.57,5.4
2015-09-01,10891.86,9.4,12.62008431,114412.49,7.6
2015-08-01,9671.33,6.2,-32.12796926,103520.63,7.4
2015-07-01,14249.36,12.5,-7.08094559,93849.3,7.5
2015-06-01,15335.24,13.9,6.82491507,79599.94,4.7
2015-05-01,14355.49,5,6.32050297,64264.7,5
2015-04-01,13502.09,8.2,26.29847474,49909.21,3
2015-03-01,10690.62,5.8,12.37811518,36407.12,2.4
2015-02-01,9513.08,0.26454525,-41.28967835,25716.5,3.2
2015-01-01,16203.42,4.98155436,50.65773325,16203.42,3.4
2014-12-01,10755.12,13.295,8.0600548,140350,8.6
2014-11-01,9952.91,9.1,-25.05451725,129594.88,8.3
2014-10-01,13280.2,9.4,33.42898279,119641.97,8.2
2014-09-01,9953.01,6.3,9.26567131,106361.77,8.1
2014-08-01,9109,6.1,-28.05795169,96409,8.3
2014-07-01,12661.58,6.9,-5.93913551,87299.6,8.5
2014-06-01,13461.05,8.8,-1.52838556,74638.02,8.8
2014-05-01,13669.98,7.2,9.52403844,61176.97,8.8
2014-04-01,12481.26,9.2,23.53756875,47506.99,9.30016772
2014-03-01,10103.21,5.2,6.48430962,35025.73,9.33960877
2014-02-01,9487.98,8.18331912,-38.52761404,24922.52,11.13156343
2014-01-01,15434.54,13.02503101,62.58864426,15434.54,13.02503101
2013-12-01,9493,14.28124285,4.03333275,129143,10.1
2013-11-01,9124.96,15.9,-24.8133509,119650.4,9.86847965
2013-10-01,12136.41,16.2,29.63853903,110525.44,9.39646845
2013-09-01,9361.73,13.4,9.00727396,98389.03,8.61110538
2013-08-01,8588.17,9.2,-27.51748939,89027.3,8.13470181
2013-07-01,11848.61,11,-4.26889618,80439.13,8.0198
2013-06-01,12376.97,12.1,-2.91811122,68590.52,7.5166
2013-05-01,12749,6.2,11.53190369,56214,6.6
2013-04-01,11430.81,6.1,18.97489006,43464.7,6.6612
2013-03-01,9607.75,6.1,9.54895397,32033.89,6.9
2013-02-01,8770.28,7.3,-35.7764359,22426.14,7.2
2013-01-01,13655.86,5.76,64.39572875,13655.86,5.8