月份,当月(亿元),同比增长,环比增长,自年初累计(亿元)
2017-12-01,56627,-2.28806101,-1.06920107,631684
2017-11-01,57239,5.76507326,-3.54061341,575057
2017-10-01,59340,3.15873651,-7.7540107,517818
2017-09-01,64328,6.20965212,13.37128355,458478
2017-08-01,56741,3.83566658,-0.11090768,394150
2017-07-01,56804,6.50616867,-26.12015035,337409
2017-06-01,76887,8.7679837,29.45900894,280605
2017-05-01,59391,7.82875506,17.48961424,203718
2017-04-01,50550,8.1306552,-3.5286933,144327
2017-03-01,52399,9.54113097,0,93777
2017-02-01,0,0,0,41378
2016-12-01,57953,6.51587725,7.08438811,596501
2016-11-01,54119,8.76602118,-5.91763295,538548
2016-10-01,57523,8.75178676,-5.02583915,484429
2016-09-01,60567,9.02428753,10.83722207,426906
2016-08-01,54645,8.18894638,2.45809427,366339
2016-07-01,53334,3.89071365,-24.55120316,311694
2016-06-01,70689,7.28911052,28.34111004,258360
2016-05-01,55079,7.43579379,17.81856296,187671
2016-04-01,46749,10.08247402,-2.27030417,132592
2016-03-01,47835,11.15670649,0,85843
2016-02-01,0,0,0,38008
2015-12-01,54407.8512,6.81333078,9.34654181,551590
2015-11-01,49757.2674,10.80075758,-5.92994569,497182.1488
2015-10-01,52893.8436,9.3448508,-4.78786116,447424.8814
2015-09-01,55553.6765,6.83254918,9.98799026,394531.0378
2015-08-01,50508.8568,9.1055597,-1.61245774,338977.3613
2015-07-01,51336.6384,9.87570743,-22.08317742,288468.5045
2015-06-01,65886.4629,11.56992708,28.51657513,237131.8661
2015-05-01,51266.8991,9.9236273,20.72102266,171245.4032
2015-04-01,42467.2505,9.5756026,-1.31661546,119978.5041
2015-03-01,43033.8407,13.13177779,0,77511.2536
2015-02-01,0,0,0,34477.4129
2014-12-01,50937.3229,12.58068953,13.4285354,502004.9009
2014-11-01,44906.974,13.36343896,-7.16601332,451067.578
2014-10-01,48373.4197,13.92254158,-6.97545033,406160.604
2014-09-01,52000.7029,11.51891217,12.32813717,357787.1843
2014-08-01,46293.5683,13.30952383,-0.9179657,305786.4814
2014-07-01,46722.4645,15.63640649,-20.88174523,259492.9131
2014-06-01,59053.9625,17.8558302,26.62021457,212770.4486
2014-05-01,46638.653,16.91384255,20.33881277,153716.4861
2014-04-01,38756.1186,16.64078493,1.88606283,107077.8331
2014-03-01,38038.6851,17.34410587,0,68321.7145
2014-02-01,0,0,0,30283.0294
2013-12-01,45245.1687,17.21882221,14.21717973,436527.6957
2013-11-01,39613.2778,17.56712856,-6.7081609,391282.527
2013-10-01,42461.6753,19.24423922,-8.93815709,351669.2492
2013-09-01,46629.4926,19.63971423,14.13174221,309207.5739
2013-08-01,40855.8493,21.42749466,1.11674647,262578.0813
2013-07-01,40404.632,20.24572552,-19.36321888,221722.232
2013-06-01,50106.9505,19.91368269,25.60817572,181317.6
2013-05-01,39891.4722,19.6770118,20.05775597,131210.6495
2013-04-01,33226.9014,19.8393511,2.50041571,91319.1773
2013-03-01,32416.3577,21.5162019,0,58092.2759
2013-02-01,0,0,0,25675.9182