月份,同比增长,累计增长
2017-12-01,6.2,6.6
2017-11-01,6.1,6.6
2017-10-01,6.2,6.7
2017-09-01,6.6,6.7
2017-08-01,6,6.7
2017-07-01,6.4,6.8
2017-06-01,7.6,6.9
2017-05-01,6.5,6.7
2017-04-01,6.5,6.7
2017-03-01,7.6,6.8
2017-02-01,0,6.3
2016-12-01,6,6
2016-11-01,6.2,6
2016-10-01,6.1,6
2016-09-01,6.1,6
2016-08-01,6.3,6
2016-07-01,6,6
2016-06-01,6.2,6
2016-05-01,6,5.9
2016-04-01,6,5.8
2016-03-01,6.8,5.8
2016-02-01,0,5.4
2015-12-01,5.9,6.1
2015-11-01,6.2,6.1
2015-10-01,5.6,6.1
2015-09-01,5.7,6.2
2015-08-01,6.1,6.3
2015-07-01,6,6.3
2015-06-01,6.8,6.3
2015-05-01,6.1,6.2
2015-04-01,5.9,6.2
2015-03-01,5.6,6.4
2015-02-01,0,6.8
2014-12-01,7.9,8.3
2014-11-01,7.2,8.3
2014-10-01,7.7,8.4
2014-09-01,8,8.5
2014-08-01,6.9,8.5
2014-07-01,9,8.8
2014-06-01,9.2,8.8
2014-05-01,8.8,8.7
2014-04-01,8.7,8.7
2014-03-01,8.8,8.7
2014-02-01,8.6,8.6
2013-12-01,9.7,9.7
2013-11-01,10,9.7
2013-10-01,10.3,9.7
2013-09-01,10.2,9.6
2013-08-01,10.4,9.5
2013-07-01,9.7,9.4
2013-06-01,8.9,9.3
2013-05-01,9.2,9.4
2013-04-01,9.3,9.4
2013-03-01,8.9,9.5
2013-02-01,9.9,9.9