月份,货币和准货币(M2)数量(亿元),货币和准货币(M2)同比增长,货币和准货币(M2)环比增长,货币(M1)数量(亿元),货币(M1)同比增长,货币(M1)环比增长,流通中的现金(M0)数量(亿元),流通中的现金(M0)同比增长,流通中的现金(M0)环比增长
2017-12-01,1690235.31468079,8.06537771,0.65977636,543790.14519118,11.8,1.53577902,70645.59924243,3.4,2.94717122
2017-11-01,1679156.63613009,9.11476976,1.00494309,535565.04954123,12.7,1.82286595,68623.15730039,5.7,0.57520929
2017-10-01,1662449.96019881,8.87714276,-0.07309725,525977.19041969,13,1.56685311,68230.68804671,6.3,-2.17617772
2017-09-01,1663666.05438742,8.97596676,0.64846315,517863.03732941,14,-0.04842419,69748.54023602,7.2,3.25317331
2017-08-01,1652947.30031106,8.56334703,1.014837,518113.92979868,14,1.4945314,67550.9894732,6.5,0.62856263
2017-07-01,1636341.10524859,8.88997756,-0.19249439,510484.57751922,15.3,0.05025429,67129.04140261,6.1,0.2259854
2017-06-01,1639497.04513491,9.10134442,1.84851324,510228.16597674,15,2.78780593,66977.68162005,6.6,-0.52800919
2017-05-01,1609740.77375527,9.1288847,0.3629818,496389.78217316,17,1.2667504,67333.20714106,7.3,-1.54898233
2017-04-01,1603918.84024284,9.84260575,-0.25001818,490180.41972742,18.5,0.28854665,68392.5963723,6.2,-0.30967637
2017-03-01,1607938.98002212,10.11781958,1.13733403,488770.09,18.8,2.56910408,68605.05,6.1,-4.35346517
2017-02-01,1589856.99535048,10.44996664,0.35743283,476527.6,21.4,0.84675683,71727.69,3.3,-17.17223868
2017-01-01,1584194.56383135,10.70318555,2.20170504,472526.45,14.5,-2.88368691,86598.61,19.4,26.78434295
2016-12-01,1550066.66781086,11.3,1.28294541,486557.23737089,21.4,2.34572306,68303.86780278,8.1,5.23911315
2016-11-01,1530432.06,11.4,0.7204189,475405.54,22.7,2.13964157,64903.5,7.6,1.07228958
2016-10-01,1519485.4,11.6,0.20607896,465446.65,23.9,2.44451157,64214.93,7.2,-1.31198418
2016-09-01,1516360.5,11.5,0.35590012,454340.25,24.7,-0.04473718,65068.62,6.6,2.54342074
2016-08-01,1510982.91,11.4,1.30227458,454543.6,25.3,2.62096807,63454.7,7.4,0.2823977
2016-07-01,1491558.72,10.2,0.07157973,442934.43,25.4,-0.15987379,63276.01,7.2,0.72767921
2016-06-01,1490491.83,11.8,1.97009074,443643.7,24.6,4.57111797,62818.89,7.2,0.06081486
2016-05-01,1461695.11,11.8,1.14070098,424250.7,23.7,2.59872653,62780.71,6.3,-2.51922382
2016-04-01,1445209.59,12.8,-0.06834749,413504.84,22.9,0.46735115,64403.17,6,-0.38365871
2016-03-01,1446198.03,13.4,1.51474583,411581.31,22.1,4.86022558,64651.21,4.4,-6.87148171
2016-02-01,1424618.67792204,13.3,0.58596437,392504.69634977,17.4,-4.89014923,69421.49535554,-4.8,-4.28121337
2016-01-01,1416319.55,14,1.72677001,412685.64,18.6,2.92607539,72526.51,15.1,14.72704207
2015-12-01,1392278.10919881,13.3,1.33352881,400953.4400483,15.2,3.44027084,63216.57797013,4.9,4.78770468
2015-11-01,1373956.01,13.7,0.95041209,387618.32,15.7,3.14307281,60328.24,3.2,0.71412563
2015-10-01,1361020.70462698,13.5,0.08799996,375806.44967709,14,3.12541753,59900.47535084,3.8,-1.8394625
2015-09-01,1359824.06,13.1,0.21490625,364416.9,11.4,0.4474085,61022.97,3.7,3.32055632
2015-08-01,1356907.98,13.3,0.27320613,362793.73,9.3,2.73886387,59061.79,1.8,0.08656448
2015-07-01,1353210.92482599,13.3,1.48762013,353122.19382944,6.6,-0.83145301,59010.70768852,2.9,0.69353885
2015-06-01,1333375.36453853,11.8,1.99010079,356082.85545863,4.3,3.78826322,58604.26434477,2.9,-0.79847298
2015-05-01,1307357.63,10.8,2.07518136,343085.86,4.7,1.99103869,59075.97,1.8,-2.79154406
2015-04-01,1280779.14,10.1,0.42705403,336388.24,3.7,-0.24384767,60772.46,3.7,-1.90049009
2015-03-01,1275332.78,11.6,1.42775412,337210.52,2.9,0.82864005,61949.81,6.2,-15.01639929
2015-02-01,1257380.4784755,12.5,1.1805053,334439.22267292,5.6,-3.92700558,72896.19348426,17,15.6338952
2015-01-01,1242710.2185386,10.8,1.16702259,348109.50224619,10.6,0.01525424,63040.50673114,-17.6,4.61500105
2014-12-01,1228374.807,12.2,1.63567431,348056.4089,3.2,3.86205109,60259.52884,2.9,3.11609282
2014-11-01,1208605.95,12.3,0.78130022,335114.13,3.2,1.66750674,58438.53,3.5,1.29462846
2014-10-01,1199236.314,12.6,-0.23419098,329617.7321,3.2,0.73269377,57691.63764,3.8,-1.95998395
2014-09-01,1202051.41,12.9,0.38015311,327220.21,4.8,-1.44659155,58844.99,4.2,1.46106021
2014-08-01,1197499.08,12.8,0.2721241,332023.23,5.7,0.20398837,57997.61,5.6,1.13539623
2014-07-01,1194249.24,13.5,-1.2680326,331347.32,6.7,-2.96940049,57346.5,5.4,0.69436823
2014-06-01,1209587.2,14.7,2.30849864,341487.45,8.9,4.16297838,56951.05,5.3,-1.8949853
2014-05-01,1182293.96,13.4,1.15341751,327839.56,5.7,1.03458269,58051.11,6.7,-0.96293577
2014-04-01,1168812.67,13.2,0.70004121,324482.52,5.5,-0.97692366,58615.54,5.4,0.49073107
2014-03-01,1160687.38,12.1,2.55588895,327683.74,5.4,3.49265729,58329.3,5.2,-6.40498901
2014-02-01,1131760.83,13.3,0.73337467,316625.11,6.9,0.54765147,62320.95,3.3,-18.52255907
2014-01-01,1123521.21,13.2,1.53600057,314900.5525,1.2,-6.63833135,76488.59523,22.5,30.58357063
2013-12-01,1106524.98,13.6,2.52654591,337291.05,9.3,3.83875789,58574.44,7.1,3.77944637
2013-11-01,1079257.055,14.2,0.84232226,324821.9228,9.4,1.66271888,56441.27238,7.7,1.52089474
2013-10-01,1070242.167,14.3,-0.66244051,319509.38,8.9,2.29853962,55595.72,8,-1.58748617
2013-09-01,1077379.163,14.2,1.51921181,312330.3433,8.9,-0.55894475,56492.53112,5.7,2.85329291
2013-08-01,1061256.43,14.7,0.85953088,314085.91,9.9,1.12346741,54925.35,9.3,0.94200296
2013-07-01,1052212.34,14.5,-0.20782837,310596.46,9.7,-0.92611217,54412.78,9.5,0.64529184
2013-06-01,1054403.69,14,1.17394857,313499.82,9.1,1.06231219,54063.91,9.9,-0.67512514
2013-05-01,1042169.16,15.8,0.93140664,310204.48,11.3,0.83083794,54431.39,10.8,-2.11440652
2013-04-01,1032551.903,16.1,-0.31920068,307648.4202,11.9,-1.04531607,55607.15123,10.8,0.26438849
2013-03-01,1035858.37,15.7,3.73097427,310898.29,11.9,4.99658497,55460.52,12.4,-8.04648699
2013-02-01,998600.83,15.2,0.65229203,296103.24,9.5,-4.85987227,60313.65,17.2,-3.42032451
2013-01-01,992129.25,15.9,1.84576011,311228.55,15.3,0.83077978,62449.63,4.4,14.25154186